theme,average_sentiment,weight,num_comments
water,0.045,0.155,9
cerave,0.01,0.121,7
cleanser,0.15,0.121,7
skin,0.047,0.103,6
foam,0.233,0.103,6
test,0.054,0.069,4
need,0.163,0.069,4
looks,0.197,0.069,4
makeup,0.368,0.069,4
foams,0.05,0.069,4
rub,0.167,0.052,3
cruelty free,-0.167,0.052,3
cruelty,-0.167,0.052,3
oil,0.006,0.052,3
test animals,0.071,0.052,3
animals,0.071,0.052,3
water based,-0.1,0.052,3
australia,0.546,0.034,2
soap,0.25,0.034,2
cleanse,0.392,0.034,2
does foam,0.323,0.034,2
rub hands,0.125,0.034,2
using water,-0.4,0.034,2
skin care,0.175,0.034,2
hands,0.0,0.034,2
supposed,0.0,0.034,2
based,0.0,0.034,2
america,-0.075,0.034,2
based cleanser,-0.15,0.034,2
face,0.156,0.034,2
add water,0.25,0.034,2
cerave cruelty,-0.25,0.034,2
cleansing oil,0.0,0.034,2
damp,0.25,0.034,2
cleansing,0.0,0.034,2
damp skin,0.25,0.034,2
ve,0.25,0.034,2
run ulta,0.0,0.017,1
ulta guys,0.0,0.017,1
ulta,0.0,0.017,1
wow,0.3,0.017,1
good,0.3,0.017,1
run,0.0,0.017,1
wow looks,0.3,0.017,1
time run,0.0,0.017,1
guys,0.0,0.017,1
looks good,0.3,0.017,1
early,0.3,0.017,1
great review,0.438,0.017,1
really mild,0.333,0.017,1
time,0.0,0.017,1
make foam,0.0,0.017,1
supposed rub,0.0,0.017,1
hands make,0.0,0.017,1
make,0.0,0.017,1
morning cleanser,0.333,0.017,1
cleanser looks,0.333,0.017,1
mild,0.333,0.017,1
morning,0.333,0.017,1
looks really,0.333,0.017,1
doesn cerave,0.0,0.017,1
america doesn,0.0,0.017,1
wait america,0.0,0.017,1
doesn,0.0,0.017,1
good early,0.3,0.017,1
hoped,0.8,0.017,1
looking really,0.5,0.017,1
micellar waters,0.0,0.017,1
love ceramides,0.35,0.017,1
ceramides,0.35,0.017,1
sold,0.0,0.017,1
correct,0.0,0.017,1
waters,0.0,0.017,1
waters sold,0.0,0.017,1
micellar,0.0,0.017,1
correct micellar,0.0,0.017,1
waterproof,0.0,0.017,1
really good,0.5,0.017,1
need waterproof,0.0,0.017,1
mascara,0.0,0.017,1
mascara test,0.0,0.017,1
waterproof mascara,0.0,0.017,1
target,0.0,0.017,1
amazon,0.0,0.017,1
walmart,0.0,0.017,1
target walmart,0.0,0.017,1
ceramides include,0.35,0.017,1
gentle skin,0.35,0.017,1
use skin,0.35,0.017,1
include skin,0.35,0.017,1
wondering worth,0.5,0.017,1
worth,0.5,0.017,1
think cerave,0.5,0.017,1
moisturizer,0.5,0.017,1
moisturizer looking,0.5,0.017,1
cerave moisturizer,0.5,0.017,1
bought,0.8,0.017,1
try,0.0,0.017,1
hoped wouldn,0.8,0.017,1
wouldn need,0.8,0.017,1
happy,0.8,0.017,1
need happy,0.8,0.017,1
bought vacation,0.8,0.017,1
vacation,0.8,0.017,1
vacation hoped,0.8,0.017,1
gentle,0.35,0.017,1
care gentle,0.35,0.017,1
wait,0.0,0.017,1
foams use,0.367,0.017,1
face cleanse,0.312,0.017,1
apply face,0.312,0.017,1
wow don,0.156,0.017,1
like wearing,0.156,0.017,1
wearing,0.156,0.017,1
washed,0.156,0.017,1
wearing washed,0.156,0.017,1
makeup looks,0.156,0.017,1
need makeup,0.156,0.017,1
water create,-0.3,0.017,1
product water,-0.3,0.017,1
cleanser confusing,-0.3,0.017,1
lather,-0.3,0.017,1
create lather,-0.3,0.017,1
appreciate support,0.225,0.017,1
appreciate,0.225,0.017,1
sell,0.225,0.017,1
business,0.225,0.017,1
hey sell,0.225,0.017,1
don need,0.156,0.017,1
gets foamy,0.25,0.017,1
foamy,0.25,0.017,1
eye test,0.0,0.017,1
ship,0.0,0.017,1
caretobeauty,0.0,0.017,1
caretobeauty ship,0.0,0.017,1
17 caretobeauty,0.0,0.017,1
eye,0.0,0.017,1
tested,0.0,0.017,1
did eye,0.0,0.017,1
animals tested,0.0,0.017,1
supposed wet,0.25,0.017,1
certainly,0.214,0.017,1
certainly test,0.214,0.017,1
hands supposed,0.25,0.017,1
kind rub,0.25,0.017,1
wet kind,0.25,0.017,1
face hands,0.25,0.017,1
wet,0.25,0.017,1
sell cool,0.225,0.017,1
small business,0.225,0.017,1
jewelry,0.225,0.017,1
clean skin,0.367,0.017,1
care future,0.0,0.017,1
proper skin,0.0,0.017,1
cat,0.0,0.017,1
cat needs,0.0,0.017,1
clean,0.367,0.017,1
use clean,0.367,0.017,1
skin meaning,0.367,0.017,1
products dry,-0.433,0.017,1
care,0.0,0.017,1
makeup involved,0.367,0.017,1
meaning makeup,0.367,0.017,1
got today,0.312,0.017,1
apply,0.312,0.017,1
need water,0.312,0.017,1
water apply,0.312,0.017,1
cleanse got,0.312,0.017,1
needs proper,0.0,0.017,1
proper,0.0,0.017,1
trendy jewelry,0.225,0.017,1
suggesting,0.5,0.017,1
jewelry affordable,0.225,0.017,1
applying,0.0,0.017,1
hands applying,0.0,0.017,1
emulsify,0.0,0.017,1
emulsify hands,0.0,0.017,1
supposed emulsify,0.0,0.017,1
applying face,0.0,0.017,1
need demand,0.5,0.017,1
needs,0.0,0.017,1
suggesting need,0.5,0.017,1
demand better,0.5,0.017,1
companies,0.5,0.017,1
better companies,0.5,0.017,1
toxic,0.5,0.017,1
toxic does,0.5,0.017,1
cerave toxic,0.5,0.017,1
walmart amazon,0.0,0.017,1
cloth,-0.167,0.017,1
feel sticky,-0.433,0.017,1
combination skin,-0.433,0.017,1
cleaner,0.0,0.017,1
foaming,0.0,0.017,1
definitely prefer,0.0,0.017,1
cleaner fyi,0.0,0.017,1
prefer cerave,0.0,0.017,1
foaming cleaner,0.0,0.017,1
cerave foaming,0.0,0.017,1
designed used,0.7,0.017,1
